id,product_id,type,number,normative_document,status_compliance,registration_date,expiration_date
8153d677-8867-4419-85f8-5dc066169a2f,0771c7a6-3b43-49f6-bd68-52aa0729289b,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-KZ С-CN.НВ95.В.7.26681/24,ТР ТС 015/2011 «О безопасности зерна»,True,2023-02-25 23:28:03.048866,2024-01-31 23:28:03.048866
333b1301-f3c2-408a-82d5-eadb8ff3461a,6666bdd8-7a10-48c9-b80a-fcd484c2f223,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-KZ С-US.НВ14.В.4.50225/20,ТР ТС 015/2011 «О безопасности зерна»,True,2023-11-06 23:28:03.048866,2024-04-08 23:28:03.048866
a161e267-d278-4943-80eb-a23f118128c5,b067ca4e-045e-40df-99b3-77384d44e876,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-RU С-RU.НВ31.В.8.78088/20,ТР ТС 015/2011 «О безопасности зерна»,True,2023-05-05 23:28:03.048866,2024-04-05 23:28:03.048866
f77546bf-d2cb-46b0-80a0-42bca37dc47f,35f560b2-876d-4f5e-be53-4e429d9c02d2,СГР на пищевую продукцию,RU.66.88.69.909.C.416537.03.23,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2024-01-06 23:28:03.048866,2024-06-05 23:28:03.048866
f8101f35-4e60-4795-9a96-42654bc773c4,351e0830-e677-4614-a781-c9aafc3eb5bf,Транспортная ВСД,U4VK-7437-ZCED-0009-IGXD-2769-26ZQ-2661,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-08-12 23:28:03.049825,2023-11-30 23:28:03.049825
a702986f-3ff8-47f7-81ea-d4e4acc7b24d,02e891e8-2aff-443c-9783-3d349342cc74,Транспортная ВСД,R3IP-5538-0ZPZ-2497-KNED-4882-2REZ-5440,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-04-11 23:28:03.049825,2024-02-01 23:28:03.049825
1f572a29-f936-40fc-a82f-739761dda821,5f53f89f-cb4a-41ce-a75b-227cf1fbb626,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-RU С-RU.НВ58.В.4.85163/23,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2024-04-14 23:28:03.049825,2024-07-14 23:28:03.049825
97ac855c-62a1-4d8a-94c3-53621aafe776,344aa0d8-b4d5-4742-9578-26449f608b52,Транспортная ВСД,J1FW-2863-4R6N-2005-IKUA-1862-S4TZ-6732,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-11-23 23:28:03.049825,2024-05-23 23:28:03.049825
db6016a6-affc-4681-9bc9-2592a8e7c142,2b51bb5a-a17e-4a56-8c06-ff5fca4718e6,добровольный сертификат на пищевую продукцию,РОСС RU.8934.18XG74,ТР ТС 034/2013 «О безопасности мяса и мясной продукции»,True,2024-01-10 23:28:03.049825,2024-02-29 23:28:03.049825
562f55fd-a497-4d06-b527-a52bab6ee5fa,0a86df66-f1ac-4309-80ff-6bd08ee8e49e,добровольный сертификат на пищевую продукцию,РОСС RU.8017.48ZV45,ТР ТС 021/2011 «О безопасности пищевой продукции»,True,2023-08-25 23:28:03.049825,2024-02-10 23:28:03.049825
23612a3e-fb91-42fd-b82b-044959f7bacb,bbbe663b-645d-4386-87d9-3209efa53351,Транспортная ВСД,WG8Q-6904-CLR1-5435-BW57-4313-IX6F-9693,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2023-01-02 23:28:03.049825,2023-10-05 23:28:03.049825
2bd6c8fe-1f47-4eb0-b21b-9268ecd52264,f52892c6-fdf3-4d57-83ed-ea81ff04a6f5,Транспортная ВСД,2AMU-3489-5CLH-2491-HLDB-2295-0TOZ-4058,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2024-02-28 23:28:03.049825,2024-03-14 23:28:03.049825
740f43cd-b291-4f56-b637-7379492280a8,4b8b9109-3241-49cb-98b1-ead53a2b7269,добровольный сертификат на пищевую продукцию,РОСС RU.4882.48WW69,ТР ТС 023/2011 «Технический регламент на соковую продукцию из фруктов и овощей»,True,2023-02-27 23:28:03.049825,2024-01-30 23:28:03.049825
fdc12dd6-f81d-4afc-abd4-34e576bd4935,614e3ce9-a7a3-4058-b75f-caf1e5f8a7c1,добровольный сертификат на пищевую продукцию,РОСС RU.5009.44YV88,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2023-06-08 23:28:03.049825,2024-05-21 23:28:03.049825
e9d99199-f464-4f67-bfde-10d7addee97e,c9da76f9-ea5e-4854-9379-65f1b0758ccd,Транспортная ВСД,F8JU-3834-BU3R-3914-75SI-8681-PN6Z-4430,ТР ТС 033/2013 «О безопасности молока и молочной продукции»,True,2023-11-14 23:28:03.049825,2023-12-09 23:28:03.049825
b26da555-ff39-47bd-a50a-21598d322a03,7f299ae3-277f-4d88-8c21-2db863737eb6,добровольный сертификат на пищевую продукцию,РОСС RU.8037.24BT59,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2024-02-04 23:28:03.049825,2024-08-27 23:28:03.049825
362de9be-80e0-40fa-b196-ae09ffed97ec,ce56b0f4-ffd8-40ee-801b-ae4579faa59b,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-BY С-RU.НВ32.В.8.47377/22,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-03-25 23:28:03.049825,2024-01-29 23:28:03.049825
c013ad96-4cc0-4984-8df0-2f4546fb6524,5090c5ae-be59-4e72-83b8-dd8d3a517e0f,добровольный сертификат на пищевую продукцию,РОСС RU.8936.42XN17,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-10-08 23:28:03.049825,2023-12-05 23:28:03.049825
79dda507-85a6-42fa-a1a0-b0f3b665ae3f,326d6de9-d127-4b05-8c9d-9e166c1ab11e,СГР на пищевую продукцию,RU.39.94.22.823.C.654242.01.31,ТР ТС 023/2011 «Технический регламент на соковую продукцию из фруктов и овощей»,True,2024-05-02 23:28:03.049825,2024-07-10 23:28:03.049825
b58ce1ba-2290-48de-953a-42b38534a7b4,bae43446-b60c-4e35-92d5-70dcde1e53dd,Транспортная ВСД,VP08-2376-QYV1-0109-5178-8622-ELM2-9538,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2023-08-30 23:28:03.049825,2024-05-04 23:28:03.049825
f9d17b30-c4a4-4b11-81a3-2a3643213fc3,b5820f33-8e5f-4f98-9c6a-4327d0bc76da,добровольный сертификат на пищевую продукцию,РОСС RU.6032.47ME36,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2023-01-12 23:28:03.049825,2023-09-25 23:28:03.049825
10257bf2-3cab-4e79-8f17-1a84ebe60f44,4be7f006-dd52-438c-ad9d-64bccf80263f,Транспортная ВСД,WF1R-2356-B8MS-4914-KBX4-0961-CV69-5161,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-10-27 23:28:03.049825,2024-01-16 23:28:03.049825
743895b1-7649-4ed3-806d-06d21bfa9c83,367c314f-9117-4c3a-8fa6-10b723a23b72,Транспортная ВСД,0U7C-1379-YCJC-7784-2AVF-6522-VKP3-0954,ТР ТС 033/2013 «О безопасности молока и молочной продукции»,True,2023-07-31 23:28:03.049825,2024-01-26 23:28:03.049825
1b4be8ca-1b02-4c27-b752-9c4f1816edee,27ab7d94-670d-4c1c-8e4e-f53354702dff,добровольный сертификат на пищевую продукцию,РОСС RU.5538.67RL68,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2023-12-29 23:28:03.049825,2024-05-15 23:28:03.049825
708ec01e-4a5d-4b9c-bad5-b7a65fb25cc2,97340299-e7a0-428d-8efb-68fbc399cd8f,добровольный сертификат на пищевую продукцию,РОСС RU.5491.42WN49,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2023-05-25 23:28:03.049825,2024-03-09 23:28:03.049825
1dd62486-ba65-4e40-ba7e-173bb451ce53,a93aa906-85cc-4c46-968c-bb3356acdf68,СГР на пищевую продукцию,RU.56.37.77.105.C.529672.07.18,ТР ТС 021/2011 «О безопасности пищевой продукции»,True,2023-09-27 23:28:03.049825,2023-10-24 23:28:03.049825
38591344-f13a-4ee5-91fb-35c6db7ba705,1b3dc6cf-6f34-4923-9ffa-6e1d0b7795de,добровольный сертификат на пищевую продукцию,РОСС RU.9388.20XJ25,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-03-05 23:28:03.049825,2023-12-23 23:28:03.049825
dcef0a52-f3d3-47f3-9f61-183f7a307309,3412490e-7279-4ed6-bf42-3c8e7ade5fbb,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-RU С-CN.НВ36.В.7.79427/24,ТР ТС 015/2011 «О безопасности зерна»,True,2023-07-10 23:28:03.049825,2024-06-06 23:28:03.049825
e744d65f-899c-4390-8119-d9fa8ce74641,27ee54db-eef9-4084-9f0c-fa39cf199fac,Транспортная ВСД,2IJQ-7224-4EN2-8434-O9IJ-8809-B0BC-0232,ТР ТС 023/2011 «Технический регламент на соковую продукцию из фруктов и овощей»,True,2023-12-07 23:28:03.049825,2024-04-20 23:28:03.049825
80cda480-c36a-47fe-b492-9a184992a19a,40c5e8be-4fb4-49e2-a224-e98f60787172,Транспортная ВСД,90YX-6228-NL46-6799-HOC5-8891-P8KD-5163,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2023-12-28 23:28:03.049825,2024-08-26 23:28:03.049825
b6ec0a75-c8ec-44d2-ac4c-21bf31239c0d,9124ccf5-ebf1-452d-93f6-83c85fe149b8,добровольный сертификат на пищевую продукцию,РОСС RU.1658.57GZ57,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2024-03-02 23:28:03.049825,2024-04-06 23:28:03.049825
17064322-b699-4648-815c-f7b8ca226753,3fbf70fb-52a1-42c6-9bfc-e9fb3e2f4183,добровольный сертификат на пищевую продукцию,РОСС RU.8805.45EH78,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2024-01-06 23:28:03.049825,2024-03-23 23:28:03.049825
3a778913-264d-46f0-b627-b27ae88367fa,3fbca478-e8eb-41f9-8d2e-90efd6b257a6,добровольный сертификат на пищевую продукцию,РОСС RU.4219.88WY41,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2023-09-01 23:28:03.049825,2024-05-13 23:28:03.049825
93408b28-fb00-4f18-b8f9-a455a9dfbf18,54cf5e0d-156f-49e5-af96-e44915ddcf64,добровольный сертификат на пищевую продукцию,РОСС RU.9669.20EX70,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2023-08-24 23:28:03.049825,2024-06-18 23:28:03.049825
121a9d37-bd44-4d53-8558-49da0e13e75f,287a8183-8cb5-4f4e-bafd-c04bac12f281,добровольный сертификат на пищевую продукцию,РОСС RU.8978.74GJ27,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-07-19 23:28:03.049825,2023-12-09 23:28:03.049825
3919530c-5a05-4b3c-a711-e5ab393a61cd,7a8c3a66-c718-468a-962a-877f5263d60a,добровольный сертификат на пищевую продукцию,РОСС RU.1447.51IZ65,ТР ТС 021/2011 «О безопасности пищевой продукции»,True,2024-04-21 23:28:03.049825,2024-06-21 23:28:03.049825
7d4902a7-11a9-4144-80c1-8475a4078347,15dcf5f7-4c03-4299-8488-7bf8cab0c328,СГР на пищевую продукцию,RU.59.58.63.993.E.723842.02.08,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2024-03-04 23:28:03.049825,2024-04-30 23:28:03.049825
7b47af92-4484-4843-90a0-9c112faf1ad0,e873a835-3dfe-4d38-a84c-eaac7e82cc4b,добровольный сертификат на пищевую продукцию,РОСС RU.5073.57OW38,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2024-03-12 23:28:03.049825,2024-06-24 23:28:03.049825
af2070a7-d9e3-4ce6-990d-2a78c5128258,3af2f549-0a7e-4ef1-b2d8-c6ad688a946c,СГР на пищевую продукцию,RU.69.24.49.176.E.168635.10.17,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2023-10-09 23:28:03.049825,2023-12-20 23:28:03.049825
697ad739-a11b-4fdb-bbde-d70cde1c6a5f,55e0fb02-7f41-46be-aa13-e519fb9ca23a,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-BY С-RU.НВ27.В.5.85107/22,ТР ТС 034/2013 «О безопасности мяса и мясной продукции»,True,2022-12-20 23:28:03.049825,2023-09-28 23:28:03.049825
fec187e1-b547-45f3-aafd-0ab010a70343,e63a7d28-7fbf-42cd-bf6b-35a8ead26e86,добровольный сертификат на пищевую продукцию,РОСС RU.9447.34RK24,ТР ЕАЭС 040/2016 «О безопасности рыбы и рыбной продукции»,True,2024-02-24 23:28:03.049825,2024-07-03 23:28:03.049825
df5e00db-238b-45ac-ae33-cf4c0b16b964,a313ce7b-d279-4137-b359-4564b378eaa7,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-BY С-US.НВ53.В.3.78928/20,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-10-29 23:28:03.049825,2024-04-25 23:28:03.049825
884dd7dc-cdb7-4d76-b78d-0e6a93d84318,b0c41df4-f0a3-4915-bcf3-3f3a2599f522,СГР на пищевую продукцию,RU.10.47.22.763.E.604840.02.08,ТР ТС 033/2013 «О безопасности молока и молочной продукции»,True,2023-11-17 23:28:03.050857,2024-07-15 23:28:03.050857
eba67207-2f5e-4188-ad46-932076cb44ab,f6b7bec3-a7e8-43bf-9ac1-f8238430fc4d,Транспортная ВСД,CYM3-1386-0YB0-7686-IX5H-7891-6UV9-7542,ТР ТС 023/2011 «Технический регламент на соковую продукцию из фруктов и овощей»,True,2023-04-19 23:28:03.050857,2023-10-08 23:28:03.050857
e9292adc-5006-42c5-9ccc-36db1d5c2fb1,ef66b1fe-5ca6-4c58-a246-dd70825ac8cc,добровольный сертификат на пищевую продукцию,РОСС RU.4610.19II85,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2023-01-28 23:28:03.050857,2023-09-15 23:28:03.050857
f5d6ed04-a52a-4812-93bf-8cebe4b9f2b3,326d6de9-d127-4b05-8c9d-9e166c1ab11e,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-RU С-RU.НВ50.В.2.65351/21,ТР ТС 021/2011 «О безопасности пищевой продукции»,True,2023-06-22 23:28:03.050857,2023-10-12 23:28:03.050857
bf930ace-7d0d-4d15-9a90-7c466f8e8b36,20ae7c8a-5723-403d-a3c9-5742a8a0ff2f,СГР на пищевую продукцию,RU.96.34.38.242.E.161540.03.30,ТР ТС 021/2011 «О безопасности пищевой продукции»,True,2023-04-05 23:28:03.050857,2024-02-04 23:28:03.050857
05114768-ca33-4d31-8df1-2e2ae39ff7e2,e5f436e4-1090-458f-b4a8-abfe05cfcac1,добровольный сертификат на пищевую продукцию,РОСС RU.1279.80OT25,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-08-17 23:28:03.050857,2024-05-18 23:28:03.050857
646237f1-2f3f-4978-bfdc-2136779a2dc3,21f1d16f-5382-4802-8df9-4096aaa7d259,Транспортная ВСД,5T2D-2086-QPDP-5867-BF82-3809-8C51-8970,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2023-07-17 23:28:03.050857,2024-06-28 23:28:03.050857
7bc6c119-50ff-4e45-be67-87f2f5a0f915,7bc2b826-e5ce-4a62-a2a3-06488e68a39b,СГР на пищевую продукцию,RU.13.15.84.927.C.293113.08.02,ТР ТС 024/2011 «Технический регламент на масложировую продукцию»,True,2024-05-07 23:28:03.050857,2024-05-17 23:28:03.050857
5dd9778d-e8b4-415d-9563-4ae614c9e720,cecfff2c-4d90-461e-93da-8cb4aa99efa5,СГР на пищевую продукцию,RU.11.65.55.268.E.536850.06.24,ТР ТС 034/2013 «О безопасности мяса и мясной продукции»,True,2023-06-15 23:28:03.050857,2023-11-23 23:28:03.050857
eff57dd1-fe99-4c2f-ac53-726d1eccb6dc,b69d3158-bfa3-4767-a26d-7a414a0a9f68,СГР на пищевую продукцию,RU.72.46.37.180.E.682919.04.11,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2022-10-13 23:28:03.050857,2023-09-20 23:28:03.050857
d6da744b-71a8-4128-8e88-676db0a5c11d,65b08d8c-7ee5-4392-84a2-e66245921fd8,Транспортная ВСД,J6KT-6797-JJYT-1557-3LYO-8903-WN20-4324,ТР ТС 034/2013 «О безопасности мяса и мясной продукции»,True,2022-09-21 23:28:03.050857,2023-09-09 23:28:03.050857
69df7401-23ab-4ba3-bfb6-b3dc745f7724,c4ec3bdd-ef5c-47bb-afc8-eda6d9a6b2b5,добровольный сертификат на пищевую продукцию,РОСС RU.2798.26OB39,ТР ТС 015/2011 «О безопасности зерна»,True,2023-04-16 23:28:03.050857,2024-03-19 23:28:03.050857
1a2b9a1c-78cf-4437-a35e-56ff59989447,fa9ba7d1-3753-460d-b8a9-394f117bb554,добровольный сертификат на пищевую продукцию,РОСС RU.1045.90YG22,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-10-26 23:28:03.050857,2024-04-01 23:28:03.050857
0c7881b3-77b8-43c4-b13a-0705440cf7df,42a20854-2ba5-4788-92c7-f88abeb7b53e,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-RU С-RU.НВ11.В.2.93245/23,ТР ТС 022/2011 «Пищевая продукция в части ее маркировки»,True,2023-04-17 23:28:03.050857,2023-11-15 23:28:03.050857
9f27360b-583b-42ed-8f50-d8278b682f3f,dea3082c-8bca-4627-8e0d-7f24ca1e8b41,декларация о соответствии на пищевую продукцию (ДС),ТС N Д-BY С-RU.НВ63.В.4.88217/23,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2024-03-19 23:28:03.050857,2024-07-30 23:28:03.050857
db675be9-196e-403c-aff0-887ad5ac154b,96f88d52-f87c-4faa-ae6c-75389646a178,СГР на пищевую продукцию,RU.70.79.21.389.E.305712.02.09,"ТР ТС 027/2012 «О безопасности отдельных видов специализированной пищевой продукции, в том числе диетического лечебного и диетического профилактического питания»",True,2023-07-08 23:28:03.050857,2023-10-09 23:28:03.050857
25f673f1-789b-41b4-8729-dfa48276b5b3,1b3bd4ea-ac5e-439a-87a1-fcfd71420216,добровольный сертификат на пищевую продукцию,РОСС RU.4433.47BI20,"ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",True,2023-11-05 23:28:03.050857,2024-06-11 23:28:03.050857
