id,title,address,phone_number,fio_representative
a92c224d-13fe-4a09-b7ae-ea8a4b6d19bf,Дементьева Групп,"с. Кисловодск, ул. Бригадная, д. 486, 898453",8 (585) 195-4081,Авдеева Милица Станиславовна
e13f626d-b041-46ae-8f9b-d79acb4cebeb,Касторама Рус (Castorama),"к. Люберцы, наб. Пугачева, д. 60 стр. 333, 190890",80721854961,Наталья Макаровна Князева
3d2eadde-a908-46b8-b71b-a89bc35cf5f3,РАО «Киселева Куликова»,"п. Кудымкар, ул. Украинская, д. 45 к. 76, 229462",8 565 553 9657,г-н Русаков Исай Эдуардович
5e5bd126-7d0c-4521-84ae-a9d12f46d5d1,"ООО «Шарапов, Сафонов и Кузнецова»","к. Черусти, ул. Молодежная, д. 919 к. 375, 543676",8 260 403 6456,Феврония Львовна Шестакова
dcb0345d-2716-4701-a83e-86706e34956b,Шилова Инк,"клх Озеры, ул. Фестивальная, д. 31, 015496",8 507 135 8421,Борис Иосифович Макаров
be165e8c-14e7-4a6d-af26-c4e7d45ca4ad,Гаврилова Инкорпорэйтед,"клх Ковров, ул. Сиреневая, д. 4/7, 153150",8 (592) 529-61-87,Носкова Марфа Ждановна
58ccf9ec-ca5c-45f6-acd4-d80b81dcdf21,ОАО «Петрова Власова»,"г. Гусь-Хрустальный, пер. Рябиновый, д. 2 стр. 2, 621538",+7 (679) 121-19-58,Королева Евдокия Вадимовна
641c6295-acf3-48b1-96f4-4fb0fcfb2eca,Юг Руси,"клх Бреды, наб. Профсоюзная, д. 90 стр. 9/7, 173367",8 (377) 366-6495,Белоусов Климент Демьянович
cc9c5154-1799-48fb-8034-852a279d19ae,Титов Лимитед,"с. Красноярск, наб. Клары Цеткин, д. 25 к. 52, 378597",8 (909) 506-0088,Адам Иосипович Григорьев
a072fe87-3311-42e6-af52-f4c2aa07d2b9,ОТП Банк,"с. Нарьян-Мар, ш. Набережное, д. 537 стр. 8, 302447",+7 (703) 444-8155,Евсеев Лонгин Артёмович
5be34675-be7c-4bba-b97e-d175af2173d4,ОАО «Чернова-Мухина»,"д. Апшеронск, ш. Окружное, д. 993 к. 62, 437998",8 (448) 913-45-44,София Ильинична Беспалова
4fad0ac9-f80e-4edb-b94b-30b8c757bb1a,АО «Анисимов-Денисова»,"с. Прохладный, ш. Омское, д. 888 к. 49, 559208",83862386139,Устинов Нифонт Исидорович
379bb5f1-8ebd-4806-b2fd-76fa81436acd,Проктер Энд Гэмбл. Дистрибьюторская компания (Procter & Gamble),"ст. Батайск, алл. Белорусская, д. 2/7 стр. 5, 048666",8 (082) 377-6762,Лапина Лора Мироновна
11ebe9f3-111b-4c28-bf2e-a72d6c44dd44,ИП «Ермаков»,"г. Елец, бул. Сплавный, д. 69 к. 55, 030636",8 176 894 5269,Ксения Феликсовна Потапова
2fe61acf-6e43-457c-aaca-31acc4ddd69c,Субботина Инк,"п. Тольятти, ш. Щетинкина, д. 58 стр. 8/5, 667456",+7 274 779 01 58,Бурова Жанна Вениаминовна
b3836741-fc79-442b-8141-3bfc612e4b8a,ИП «Гордеев Буров»,"ст. Светлогорск (Калин.), наб. Лазурная, д. 2/6 стр. 20, 626804",8 (269) 428-9400,Юлия Степановна Королева
70856b47-3425-4815-aa87-b0f70ba62e2d,Рыбаков Инк,"г. Нижневартовск, ул. Надежды, д. 74 стр. 302, 179136",8 606 741 9029,Попов Андрей Филиппович
450f7332-114e-417c-aa7b-36c039f16d86,Дьячкова Групп,"клх Карталы, бул. Энергетиков, д. 78 к. 60, 198201",8 606 703 32 27,Щукин Софон Валерьянович
ed367e76-93b8-4172-8446-b536fb5db8fd,Восток-Запад,"к. Таштагол, пер. Леонова, д. 9 стр. 24, 284894",8 819 797 3373,Милица Тимофеевна Полякова
0fc44b3f-95be-4551-a56c-1b24eae3f489,Суворова Лимитед,"с. Новый Оскол, ул. Попова, д. 28, 621068",+7 (755) 337-05-15,Мельникова Маргарита Павловна
3a9cc805-e331-4d42-9202-9e5fd81b770f,ОАО «Якушев»,"п. Элиста, пер. Набережный, д. 226 стр. 131, 875629",+7 (703) 354-9971,Касьян Терентьевич Власов
cd749a75-d46f-42a7-8d9a-74f414d52e65,"ЗАО «Дьячков, Костина и Крылова»","с. Диксон, алл. Труда, д. 945, 423486",8 136 780 04 48,Тит Филатович Ларионов
03c292d5-39ae-420b-93c4-6a7a7b01a845,ОАО «Калинин-Орехова»,"с. Кинешма, пр. Водников, д. 3 к. 26, 452042",+7 567 009 62 71,Тарасова Жанна Архиповна
cd5e29ee-0d78-4198-b218-8534ed8da183,НПО «Вишняков»,"г. Макаров, бул. Котовского, д. 4, 549463",+74239818979,Август Иларионович Лаврентьев
3da0b1dd-6874-47c7-9fa9-1e2f882df100,DDS,"с. Югорск, ул. Нагорная, д. 24 к. 4, 530078",83211838087,Емельянов Мирослав Викторович
1d1944bc-00d9-41a1-b968-7e2f03943538,ОАО «Белова»,"с. Советский, алл. Крылова, д. 563 стр. 7, 793588",88182788014,Шашкова Анжела Юрьевна
4dd415ea-cf4b-41d3-ba2d-4665ed4fb736,"ОАО «Владимиров, Симонов и Белова»","ст. Карталы, бул. Красный, д. 5/6, 229984",+78413521117,Лобанов Зиновий Владленович
6c9e8fba-f4ae-4c04-a79c-8d650003af76,РАО «Новиков»,"с. Шарья, наб. Хвойная, д. 4 к. 2, 135430",80854794228,Комарова Нинель Оскаровна
16303543-31e8-4b56-bb98-d1554c2edf99,РАО «Устинова Пестов»,"клх Снежинск, бул. Полтавский, д. 417 стр. 891, 326715",8 848 304 9680,Уварова Лора Ильинична
6f3b3f3b-32b9-40cd-95a4-a811c71e66dc,Мамонтов Инкорпорэйтед,"клх Невинномысск, ш. 30 лет Победы, д. 162 стр. 8/2, 600914",8 (491) 912-5656,Парфен Марсович Богданов
a0850ed9-e566-4ebf-8bed-e884b2b08d1d,Арктикгаз,"ст. Дзержинск, пер. 50 лет Победы, д. 77 стр. 169, 705398",+7 (491) 294-4051,Самойлова Маргарита Вячеславовна
5f3cad28-817c-4330-885b-be17d2ecca30,"ЗАО «Марков, Голубева и Прохоров»","с. Лесной (Сверд.), пер. Мусы Джалиля, д. 9 стр. 1, 854179",83128704174,Дьячкова Алевтина Валериевна
d32bd47f-0253-49a9-88f6-9d811f9dc3d2,Гала-Форм,"к. Баргузин, наб. Ворошилова, д. 6, 354786",87674959118,Харитонова Анжелика Григорьевна
14af4996-8549-4065-9002-25c2d2971793,"ООО «Веселова, Голубев и Молчанова»","д. Ершов, ул. Свободы, д. 6/4, 994461",+7 984 605 9600,Рябов Милий Абрамович
2df72d84-0f74-4f1b-97dc-f68bc9b63261,"ЗАО «Блохин, Носков и Белякова»","д. Котлас, пр. Урожайный, д. 8 к. 68, 249371",+71997523933,тов. Терентьев Мечислав Васильевич
a34f2f40-0cee-4742-bce4-388557649c78,ООО «Козлова»,"к. Ведено, ул. Цветочная, д. 95, 708151",+7 (472) 255-90-06,Горбачев Ратмир Ефимьевич
bb615359-824a-4da1-b651-4be600670e42,"РАО «Константинов, Блохин и Шарова»","клх Озеры, бул. 60 лет Октября, д. 4/8 к. 51, 353491",8 288 523 6517,Осипова Ксения Вадимовна
e6a7b473-ec05-44bd-8e90-01efd593161e,ООО «Пономарев»,"к. Верхнее Пенжино, пр. Новоселов, д. 64 к. 6, 303832",8 (433) 775-7734,Регина Матвеевна Виноградова
5480571a-95bc-4ddc-a214-77354d87ae93,НПО «Фомичев»,"д. Усть-Катав, пер. Литейный, д. 13 стр. 9/6, 735856",+7 (941) 974-3925,Майя Кузьминична Игнатова
a7cb8fed-f828-4987-915c-31b696e34512,Инвестнефтетрейд,"д. Ступино, пер. Театральный, д. 3/4 к. 968, 335776",+7 547 752 4128,Любомир Андреевич Борисов
d11771e7-2f6d-4355-99cd-c948f16e1043,ООО «Сысоев»,"ст. Красноярск, наб. Деповская, д. 1, 485824",+7 810 361 0313,Беляева Маргарита Игоревна
399af5f9-0f9c-419a-be83-b8f5efa075ee,Ефимов Групп,"п. Славянск-на-Кубани, ул. Смоленская, д. 8 к. 68, 258113",8 620 000 65 01,Сергеев Милен Александрович
95257991-67d2-4dbb-aecf-3da4c1529607,"ИП «Елисеева, Логинов и Ершова»","д. Витим, бул. Ломоносова, д. 38 стр. 26, 393714",+7 (401) 280-8801,Ксения Владиславовна Петрова
47d5c14b-df4c-4682-8f86-5c7dabf58e41,НПО «Воронов Логинова»,"д. Северо-Курильск, пр. 8 Марта, д. 6, 444017",+7 (182) 613-70-04,Медведева Маргарита Кирилловна
2302ad16-f58e-4000-a9a9-98b1069dcb65,РАО «Богданова Петухов»,"г. Охотск, алл. Луговая, д. 1/1 к. 66, 051461",+7 (297) 249-36-63,Евфросиния Геннадиевна Ершова
a216ff49-514e-4890-a364-0d3d7bc0c673,РАО «Фомин»,"г. Петрозаводск, пер. Почтовый, д. 35 стр. 173, 078822",+7 (865) 124-87-17,Оксана Львовна Субботина
f6f61031-936d-4832-8e11-55470c4a413a,АО «Чернов-Горбунов»,"с. Куртамыш, ш. Свободное, д. 41 к. 6/8, 464947",85042279760,Мирон Федосьевич Моисеев
bb4ff2e1-65a0-4846-b46b-d6d74a2afcb8,ЗАО «Зайцева-Марков»,"клх Екатеринбург, наб. Невского, д. 654, 669558",8 (684) 998-53-23,Ефрем Гурьевич Сафонов
59fd9b55-0b4b-4aca-bc20-f6e9f5a8d429,"ООО «Мухин, Гаврилов и Гусева»","д. Слюдянка, ш. Сахалинское, д. 4 к. 23, 236843",8 003 867 2217,Нина Николаевна Боброва
a4074f36-eae8-46e4-9a59-b2dee2445d37,НПО «Котов-Вишняков»,"г. Каменск-Уральский, алл. Тихая, д. 386, 650525",+7 (453) 299-7968,Меркушев Савватий Ефстафьевич
b1c73772-0a3f-4c82-afa4-e0f3b7ecfa95,ООО «Костин»,"д. Лабинск, пер. Баумана, д. 9/4, 335710",+7 304 134 6432,Белоусов Фотий Феофанович
022a52b1-171c-4f55-87c2-dc7ddd8f2b75,Гордеев Лимитед,"к. Нижневартовск, наб. Водопроводная, д. 8 к. 9/2, 362856",+7 (883) 592-5927,Соловьев Филарет Артёмович
65dca7ae-7ef6-412c-baca-01301253af25,Совкомбанк,"п. Усть-Ордынский, ул. Парижской Коммуны, д. 456 стр. 440, 821687",85156534661,Самуил Ильич Архипов
0a366a43-103e-4312-aba4-556073e44952,ООО «Белозеров-Киселева»,"с. Кедровый, бул. Белорусский, д. 77 стр. 129, 892535",8 980 226 17 40,Ангелина Тимуровна Орлова
1495e353-a9bd-49eb-834e-8bae0dd5ca31,Втормет,"г. Устюжна, алл. Парижской Коммуны, д. 9 стр. 4, 660457",8 (424) 186-78-75,Ковалев Владимир Тихонович
29a06c13-e939-43cc-aab6-e08ba8b9ac58,Группа Волга-Днепр,"г. Сусуман, пер. Родниковый, д. 42 стр. 44, 424253",8 291 137 0159,Колесникова София Николаевна
4e700655-4b33-4879-9d70-21ea83e2eb27,РАО «Белякова»,"д. Раменское, наб. Карла Маркса, д. 6/9, 598988",8 (767) 581-5476,Марфа Валериевна Горшкова
8868ab04-9fd1-44e9-a314-c268c2180418,Мосинжпроект,"п. Калачинск, пр. Рыбацкий, д. 43 к. 264, 711858",+74303323811,Кулагин Филарет Ануфриевич
9899f7dd-3534-4de7-92c4-03a38f081dd6,ЗАО «Трофимова»,"к. Онега, наб. О.Кошевого, д. 9 стр. 535, 178081",+7 697 582 3006,Онуфрий Владленович Никонов
3c4990da-823f-4e32-9c70-53fea9e1e237,РАО «Сорокин»,"п. Сыктывкар, ул. Почтовая, д. 5/8 стр. 7/3, 410494",8 314 912 76 22,Николаева Жанна Архиповна
3837c257-46d2-4b1d-8381-31b9ba3aad2f,Козлов Инк,"с. Чокурдах, пр. Производственный, д. 7/2 стр. 803, 736533",+7 025 974 1721,Пестова Лидия Константиновна
0ac86687-34d8-4282-bc54-5b89b1e38917,РАО «Костина»,"г. Дубна, ш. Культуры, д. 497, 879322",+7 742 260 50 88,Новиков Вышеслав Викентьевич
3561d92b-f8f2-49b2-860a-c90a8a42d241,Ковалева Лтд,"с. Нефедова, алл. Выгонная, д. 726 стр. 59, 749602",+7 (368) 212-63-20,Наина Филипповна Никитина
6790bd4a-7f61-46c4-9f24-9deec3328727,ОАО «Тихонов-Лукина»,"к. Оса, ул. Омская, д. 9/2 стр. 9, 010106",83071843786,Христофор Вилорович Трофимов
ab34e71c-eac7-41bf-a28d-841fc2889313,Прохоров Инкорпорэйтед,"п. Москва, ш. 1 Мая, д. 1/7 стр. 70, 809779",82546419589,Крылова Евфросиния Вадимовна
fe18d5cc-c811-4055-811d-d99107cc28a7,"ООО «Гущин, Комарова и Ширяев»","клх Азов (Рост.), ш. Гончарова, д. 1/3 стр. 60, 401559",88664720359,Евдокия Оскаровна Ефимова
c9704184-ac14-4f14-a0bb-17914df4ca57,ООО «Игнатьев»,"п. Череповец, ш. Микрорайон, д. 58 стр. 22, 681067",8 869 622 9947,Шашков Флорентин Данилович
64db5be0-75f6-41da-a931-d301d70b11c7,АО «Маркова»,"клх Прохладный, ш. Высоцкого, д. 2/1, 262793",8 (900) 161-10-52,Беляков Харлампий Ануфриевич
1e6b807f-aaed-48fa-83cd-85c9cfc0f80b,"РАО «Цветков, Павлов и Ефимова»","ст. Грозный, бул. Индустриальный, д. 1/3 к. 44, 383870",83956583733,Моисей Герасимович Ефимов
cc751a5d-d5f1-40a1-855b-dd825b539e89,Рябов Групп,"клх Соболево, пер. Труда, д. 9/3, 093697",84538823670,Иванова Елизавета Львовна
4b974055-b4a6-4b5e-843d-765d00248a1a,РАО «Фомина-Егорова»,"с. Алексин, пр. Космический, д. 6 стр. 873, 308467",8 (485) 760-40-93,Ильина Раиса Мироновна
52fe7748-5f2a-4a82-9c1f-972c9d77df98,НПО «Николаев Кузнецов»,"с. Оса, ш. Комарова, д. 8/4, 042686",+7 (088) 827-9481,Уваров Ермолай Ефимович
d3446c4a-924c-400f-92a8-7dd6f2e98c00,Котова Инк,"ст. Цимлянск, ул. Ленина, д. 90, 526092",81400439218,Кудряшова Варвара Сергеевна
a38b7552-b7b1-433b-84ee-158f41decd39,Журавлев Лтд,"д. Элиста, ш. Союзное, д. 581 стр. 1, 994091",+7 (905) 027-2187,Мина Харлампович Мухин
b3516524-df37-4a8f-b4d4-1d52def9fe63,ОАО «Стрелкова Агафонов»,"клх Калуга, бул. Карбышева, д. 5 к. 8, 510260",8 (735) 598-8047,Велимир Дмитриевич Панов
7480848d-e31e-43b8-84c5-b04841d9f406,ОАО «Мухин-Игнатова»,"п. Алексин, пр. Глинки, д. 6/8 к. 46, 084872",8 480 443 7564,тов. Кононов Михей Жанович
fe66fba6-42f8-47e3-a5b0-9296d7ba63ac,"РАО «Игнатьева, Калинина и Рябов»","п. Смоленск, пер. Троицкий, д. 6, 002288",88647783792,Виктория Эдуардовна Федорова
bd910e98-aa9c-4072-8d5c-51e5efef2b85,ЗАО «Дьячкова»,"с. Нальчик, ул. Логовая, д. 7/4 к. 60, 532855",8 (961) 472-66-50,Натан Денисович Сысоев
1a831cfd-cef5-4a69-9fcd-c3e8d29881f7,ООО «Романова»,"д. Чебаркуль, пр. Флотский, д. 543 к. 9, 946763",+7 (415) 206-96-04,Федоров Селиван Анисимович
32629d5a-694b-4fd3-9820-afb5f5e41e6e,Сибуглемет,"д. Завьялиха, наб. Окружная, д. 3 стр. 69, 506180",+72467005369,Ермаков Руслан Жоресович
4b166eb6-d2b1-4e81-bfc0-77b8daaa74d5,АББ (ABB),"д. Ведено, ш. Революции, д. 428 стр. 676, 843758",8 (186) 732-3380,Колобова Фаина Оскаровна
