id,title,address,phone_number,fio_representative
01e8451c-6b83-4d73-98b6-3624bf32ed29,АО «Селиверстова»,"п. Грозный, бул. Речной, д. 67 стр. 6/6, 935445",+7 (367) 192-35-43,Михайлов Фрол Арсеньевич
6c1326fe-c25c-4b74-bc95-83b376b02b10,"ИП «Белова, Константинов и Рогова»","г. Дмитров, бул. Рыбацкий, д. 888, 705027",85071377139,Шашкова Наина Михайловна
ecc29a10-2587-49f5-89af-1cb2b361319e,"ИП «Исаков, Третьякова и Ильина»","клх Петухово, пер. Краснофлотский, д. 6/2 к. 89, 169551",+7 (679) 876-5140,Зуев Архип Ааронович
9055d119-e652-4aba-8d09-913ae3a7b6da,Панфилов Лтд,"г. Оса, ш. Волжское, д. 841, 173133",+7 579 884 7928,Галина Кузьминична Капустина
919dc3db-c964-423d-b7ed-4a3921537721,НПО «Кудрявцева-Захаров»,"ст. Октябрьское (Хант.), ш. Шевченко, д. 45 стр. 11, 793221",+7 (634) 173-4739,Фадеева Агафья Мироновна
8e12e240-937d-4087-b750-024e7eb3bbdb,ИП «Ефремова Третьякова»,"к. Руза, пр. Грибоедова, д. 8 стр. 134, 290543",+7 480 518 88 96,Тарасова Елизавета Анатольевна
8db5d570-af57-4022-a7c2-7352c3f17834,ОАО «Самойлов Герасимова»,"к. Моздок, пер. Байкальский, д. 503 стр. 4, 210889",+7 (479) 480-60-62,Бирюков Карл Юльевич
4000abba-d2aa-4070-8c55-0e6d61648f8a,Хохлов Инкорпорэйтед,"с. Южно-Курильск, бул. Троицкий, д. 8/6 к. 194, 989436",+7 002 893 73 27,Кондратий Жанович Жуков
48e89d91-88ac-4a70-afb4-c46a09cdb3ff,"НПО «Миронов, Кабанов и Казакова»","г. Мытищи, пер. Трудовой, д. 3, 856002",8 079 776 5028,Соломон Власович Савельев
b796d60b-2d2a-4c1b-bcca-a6cab545be61,ЗАО «Исаева Пахомов»,"клх Калач, ш. Сурикова, д. 23 стр. 19, 273799",86253408661,Бирюков Артем Гавриилович
db196288-db56-471c-89f2-b54b88ac7e02,"ЗАО «Кошелев, Селиверстова и Бирюкова»","с. Соликамск, ш. Репина, д. 5, 916947",8 (654) 275-30-94,Натан Викторович Самойлов
bbe2d051-3e17-49f2-92f1-b1a53fc7ffb6,Белоусова Инк,"г. Ачхой Мартан, бул. Сахалинский, д. 1 к. 1, 391358",8 238 966 65 69,Денисова Нина Захаровна
2fdd89c8-3292-4fde-862c-871c05b5f2fa,РАО «Петров»,"п. Охотск, ш. Амурское, д. 347, 885135",+7 987 413 27 32,Прасковья Романовна Кириллова
e003d212-f151-4c88-aad0-96c2ac0caf4d,Удмуртнефть,"г. Мокшан, наб. Энергетическая, д. 7/1 к. 249, 410829",+7 (255) 124-84-18,Зимина Юлия Леонидовна
72b6b532-f08e-4cd8-94ec-911e83ca524c,ИП «Гущин-Рожкова»,"д. Новороссийск, бул. Индустриальный, д. 765 к. 7/7, 812779",+71836950043,Регина Макаровна Богданова
3f5873d0-66eb-4dfd-83e7-19186d2a7d34,ИП «Громов Ермакова»,"ст. Волоколамск, алл. Инженерная, д. 670, 433694",89085219232,Регина Альбертовна Федотова
29e05c4d-c030-4f1a-9afa-eaaf52dff068,ОАО «Архипов»,"п. Терней, ул. Российская, д. 9/7, 038877",8 (066) 960-74-95,Маргарита Никифоровна Белоусова
e818f910-c3d3-473d-9464-fdaef4a2154e,"ЗАО «Данилова, Филатова и Владимиров»","ст. Лысьва, бул. Производственный, д. 72, 695547",+7 235 952 4042,Николаева Анна Архиповна
fcaf65c8-b5bf-459d-b5de-4d32a33f4735,"ООО «Кошелев, Фадеева и Титов»","клх Новокузнецк, ул. Кочубея, д. 73, 424242",+7 (529) 126-8527,Казимир Федосьевич Меркушев
56900b47-7580-4fab-a3ba-8bae9f65d202,Лапин Лимитед,"к. Тимашевск, пер. Окружной, д. 487 к. 9, 377187",+79750258530,Татьяна Егоровна Александрова
595357bc-79e9-4296-a425-5df64bf3c554,АО «Власова»,"клх Адыгейск, пер. Киевский, д. 3, 014970",+79520001120,Фёкла Вениаминовна Никифорова
05a4a087-748a-4803-9a8a-ac0f3ee81389,ОАО «Ситников»,"д. Котлас, ш. 40 лет Победы, д. 51, 233548",86345712651,Лаврентьева Глафира Натановна
1bb4bd8a-63c2-40b0-acad-f53f8c8ef952,Банк Русский стандарт,"к. Переславль-Залесский, ш. Одесское, д. 3 стр. 4, 010400",8 (533) 546-19-73,Соколов Натан Демьянович
aa3e3133-7dc6-45b0-9187-6559ffb09b75,Пепсико холдингс,"п. Светлогорск (Калин.), пер. Астраханский, д. 94 стр. 302, 943788",+72845448311,Щербакова Вера Вадимовна
10026bd3-3607-40e2-9119-1fa81647e0f8,НПО «Уваров Мамонтова»,"п. Шарья, алл. Интернациональная, д. 2, 570027",+7 (108) 775-1721,Виссарион Фомич Носов
5c2894b2-e44d-4b2b-87cb-9d9a18ea6a57,Устинов и партнеры,"г. Уссурийск, ш. Гоголя, д. 9/5, 799356",+7 (006) 991-3665,Бирюкова Лариса Филипповна
d4629a07-6c7f-457a-b284-bf84806f2f05,"ООО «Жуков, Гордеев и Евдокимов»","п. Златоуст, ул. Школьная, д. 92 стр. 7/6, 899851",8 (278) 311-21-95,Клавдия Петровна Киселева
e888e126-c358-4462-9aee-beffa73401a5,ООО «Шарапова-Сорокина»,"д. Верещагино (Перм.), ул. Спортивная, д. 31 стр. 26, 495451",+7 (503) 672-24-00,Носова Элеонора Альбертовна
6c5b71be-6a63-42a2-8d07-3ebba31f0d34,"ООО «Волков, Петухов и Рожкова»","к. Ухта, ул. Культуры, д. 124 стр. 31, 370928",8 367 627 8450,Дорофеев Игнатий Андреевич
489dda3c-79e9-43c0-97ba-3eee6a84cb27,"ЗАО «Ефимов, Крюков и Кононова»","г. Рыбинск, пр. Декабристов, д. 466 к. 9/6, 880088",8 546 873 4812,Евпраксия Альбертовна Симонова
f3520c59-9cb8-4f81-b22e-8ebb4f3d4a2b,Загорский трубный завод,"к. Нефедова, ш. Жданова, д. 280 к. 63, 160120",8 443 765 60 62,Георгий Федотович Алексеев
28a5f2b6-4627-453d-aabc-f5ae7f2e0685,ОАО «Лихачев-Пестов»,"г. Диксон, пер. Кирова, д. 926, 527746",+7 347 531 3710,Севастьян Якубович Сазонов
fa698e5a-68c9-4d15-8347-bb050ae8f8b1,"НПО «Кудряшова, Рябов и Федорова»","г. Кашхатау, ул. Черемуховая, д. 2 к. 1/2, 863216",+7 (281) 136-4092,Рогова Елена Наумовна
ff4dcf9b-dc70-4c3a-bc0b-bc413d0ac3e4,"ЗАО «Белоусова, Воробьева и Беспалов»","г. Псебай, ул. Орловская, д. 3/5, 622189",+7 (176) 374-04-30,Назарова Лариса Аскольдовна
deb60330-811f-4796-86bd-458d0c777be3,"ИП «Константинов, Гришина и Фадеева»","к. Салехард, наб. Карла Либкнехта, д. 540 стр. 918, 332859",8 (374) 623-3052,Гуляев Федот Гертрудович
be4ebda4-24fa-45ab-8529-fe26ab3d2767,ОАО «Зыкова»,"к. Кущевская, бул. Минина, д. 68, 972417",+77712816524,Милица Юрьевна Лебедева
381b2112-a999-4f1f-b012-66bed4cae9c9,Корпорация ВСМПО-АВИСМА,"к. Ижевск, пер. Боровой, д. 97, 788454",+7 600 259 7163,Ия Эдуардовна Вишнякова
f7da5403-23c1-4dc2-bfec-5f3e4974bc14,ООО «Савина»,"д. Новомосковск, наб. Громова, д. 24 к. 7, 554913",+7 086 755 4034,Рюрик Герасимович Колесников
4bf0d057-b723-4bbe-9573-03d229ef1cd1,ИП «Лазарев Блинова»,"п. Курганинск, ул. Радищева, д. 4 к. 795, 130057",+7 644 104 0083,Станимир Викентьевич Медведев
c58c2c5d-5fbc-4d3a-859f-dd5b38422457,"ОАО «Кабанова, Ковалев и Колобова»","г. Можга, ул. Черняховского, д. 5 к. 8/2, 775685",8 (943) 407-52-52,Кузьмина Анжелика Рудольфовна
6b463262-1c03-4255-a303-a542dd2e64dd,ОАО «Жукова-Григорьев»,"к. Ковров, ш. Павлова, д. 521, 231088",86094480979,Носова Анастасия Алексеевна
