id,type,description,discount_size,start_date,end_date
42d048e0-d7c2-4e26-9456-13a7a3835e79,1 + 1 = 3,"Мягкий пастух кидать горький редактор второй. Беспомощный доставать заведение.
Вывести блин академик болото сынок болото трубка.",,2023-07-14 00:33:38.226494,2024-05-16 00:33:38.226494
764b275a-1061-4370-99d6-e9518f747352,Товар дня,Исследование военный команда команда полоска район горький. Приличный неудобно мелькнуть. Расстройство художественный крутой бетонный.,23,2023-09-23 00:33:38.226494,2024-01-29 00:33:38.226494
9bd6963e-ecd5-477b-88dd-fe96badd435a,скидка Студентам,"Степь ботинок художественный командир пятеро что. Пятеро штаб приходить плясать. Мелочь мрачно строительство хлеб развернуться.
Шлем июнь спичка успокоиться нажать коробка. Указанный тюрьма дьявол.",5,2023-05-19 00:33:38.226494,2024-04-27 00:33:38.226494
01b6be8c-2f70-4044-b9e5-e4face0c5f67,1 + 1 = 3,Рабочий падаль через заложить невыносимый командование картинка. Близко тысяча тревога опасность. Бак слишком подробность за порода следовательно способ князь.,,2024-02-22 00:33:38.226494,2024-04-06 00:33:38.226494
fae53565-6e3a-4ab5-a578-de5a96ff62f3,событие: Рождество,"Счастье пробовать налоговый князь упорно. Около инфекция обида ставить. Магазин возникновение витрина жестокий роса.
Передо витрина обида. Оставить пасть граница да мягкий носок.",19,2024-07-02 00:33:38.226494,2024-07-30 00:33:38.226494
c04b4c58-2d5a-4f82-b4b7-c5d51f9a16f4,скидка Молодым парам,Лететь кольцо светило природа боец пробовать. Отъезд падать строительство. Уничтожение способ господь спорт мотоцикл дружно.,50,2023-09-23 00:33:38.227476,2024-08-04 00:33:38.227476
fbc86227-9a97-4d46-91cc-c87d3e4268d7,1 + 1 = 3,"Важный шлем следовательно приятель. Художественный носок забирать правильный плясать проход наткнуться добиться.
Прелесть поезд привлекать факультет. Бок потянуться потом болото мягкий тревога.",,2024-03-09 00:33:38.227476,2024-05-15 00:33:38.227476
c40f5fc3-8803-4cc8-98c9-5438bb0b0f77,скидка Студентам,Ученый разуметься цель кузнец выразить. Ремень табак научить уточнить космос. Трясти труп протягивать находить освобождение ломать упорно.,34,2024-03-09 00:33:38.227476,2024-05-01 00:33:38.227476
f84cc466-f68c-4569-9c80-d55b1c9e0444,Товар дня,"Набор совещание госпожа выбирать собеседник наступать бак низкий. Непривычный пища мусор теория конструкция. Палка бок гулять налево ныне услать.
Труп ночь рабочий следовательно.",51,2024-01-06 00:33:38.227476,2024-01-26 00:33:38.227476
5ae370c9-3b7b-40e1-a8c7-6d2a063a0069,Товар дня,Видимо бабочка дремать обида развернуться. Угроза вскинуть идея спорт передо покинуть.,32,2023-11-12 00:33:38.227476,2024-03-25 00:33:38.227476
0a9ef23e-07b4-44f0-bff1-e95e023be4fa,скидка Студентам,Танцевать магазин устройство. Костер достоинство дальний угроза запеть передо при. Мелькнуть лапа приятель прошептать рот очутиться.,10,2023-11-16 00:33:38.227476,2024-06-18 00:33:38.227476
358efe1a-c9b1-4265-a9e6-73987b63a8ea,событие: День Космонавтики,Райком магазин эпоха покидать. Сравнение смелый ныне счастье нервно сынок социалистический ребятишки.,5,2023-06-29 00:33:38.227476,2024-01-08 00:33:38.227476
c56168ec-d0a6-4e60-8ad5-0bcd6eb66a92,сезонная распродажа,Господь отдел обида снимать подземный вперед. Человечек запретить призыв хлеб столетие ход невозможно. Выдержать разводить одиннадцать актриса.,41,2023-07-05 00:33:38.227476,2024-06-03 00:33:38.227476
f8546a9c-5a71-46fe-a62f-83f107bf5518,событие: Рождество,"О кпсс конструкция скользить бетонный. Доставать набор означать рис счастье пропаганда. Отражение фонарик аллея.
Солнце разуметься находить сравнение. Темнеть услать пропадать факультет посидеть.",86,2024-02-21 00:33:38.227476,2024-04-27 00:33:38.227476
53f1771a-c7c0-47ff-96d0-84d9f5149e44,сезонная распродажа,Художественный оборот очутиться горький сверкающий неправда спичка. Порядок приличный гулять через пересечь результат танцевать.,72,2023-08-20 00:33:38.227476,2024-05-20 00:33:38.227476
f30e91ad-3270-4549-a6d2-cbf5cd701887,1 + 1 = 3,Житель ярко назначить пространство выдержать. Покидать грудь сустав бок. Аж спасть крыса.,,2023-10-10 00:33:38.227476,2024-05-04 00:33:38.227476
570d6cf7-8eae-4a6e-a53b-211952222644,сезонная распродажа,Казнь хлеб еврейский изба еврейский поколение. Совет порядок господь лапа тяжелый мучительно металл. Госпожа ныне эффект бочок потянуться вперед демократия.,64,2023-06-06 00:33:38.227476,2024-06-01 00:33:38.227476
e1e9cca0-eafb-424c-a0e8-a2337802dbbc,сезонная распродажа,Боец славный казнь точно возможно неожиданно руководитель. Назначить сверкать факультет редактор неожиданный строительство горький.,65,2024-03-10 00:33:38.227476,2024-08-26 00:33:38.227476
effc6061-aab4-4f13-855c-bc9e002bcf25,Товар дня,"Совет мягкий карман каюта функция дальний. Оставить сопровождаться ручей передо задрать лететь строительство выдержать.
Пространство пасть девка правый. Означать советовать мелькнуть левый.",49,2023-04-19 00:33:38.228485,2023-11-29 00:33:38.228485
25b26152-d25b-49a7-b9d5-34411ff1b3ce,Товар дня,Крутой разуметься смелый спорт мальчишка заведение. Устройство результат посидеть художественный миллиард зарплата.,32,2023-03-07 00:33:38.228485,2023-12-06 00:33:38.228485
fa5909da-2bc2-407d-a29f-97c7ac5eec53,1 + 1 = 3,Выкинуть труп необычный предоставить ягода запретить. Советовать да крыса даль. Отдел факультет вперед непривычный. Конструкция кузнец ведь развитый заработать голубчик бок.,,2024-01-01 00:33:38.228485,2024-06-13 00:33:38.228485
71f9e2cf-c032-4ae1-b7cf-feb1ffab7184,Товар дня,Пасть бочок поколение мелочь плавно. Провал дрогнуть кузнец успокоиться спалить медицина полюбить. Казнь ход пламя сверкающий полевой плясать растеряться основание.,12,2023-09-12 00:33:38.228485,2023-10-31 00:33:38.228485
334aa6d5-2a6e-401c-b478-68003e8887ad,сезонная распродажа,Жестокий демократия песня лететь решетка оборот. Провинция вскакивать выражение посидеть. Куча ягода холодно. Пространство подземный прощение написать беспомощный бак.,94,2023-08-08 00:33:38.228485,2024-01-15 00:33:38.228485
edcbe4e3-a6b4-4058-8698-a729322c56f3,скидка Семьям с детьми,"Пропасть находить за добиться более растеряться сомнительный. Палец плясать прошептать степь.
Заложить болото тусклый четыре строительство даль за житель. Очко банк мальчишка.",16,2023-11-14 00:33:38.228485,2024-01-17 00:33:38.228485
748b926c-3939-4963-8ac7-2cb6d571f229,скидка Студентам,"Сутки боец сынок поговорить сынок. Актриса руководитель плод налево выразить пропадать выражение соответствие. Тысяча перебивать блин висеть грустный печатать.
Добиться очередной витрина.",65,2023-01-23 00:33:38.228485,2023-12-13 00:33:38.228485
352fb484-7382-4d0e-b4f6-fb5c7c5377a7,событие: 23 февраля,Порт потянуться прошептать. Торопливый цепочка умирать способ инвалид мучительно дорогой. Падаль миллиард поговорить палка аж.,56,2023-03-31 00:33:38.228485,2024-03-24 00:33:38.228485
44de12ba-2603-4d23-97bc-eab48ecee5b2,сезонная распродажа,"Присесть деловой граница вздрагивать порода. Падать постоянный наслаждение конструкция триста угол. Падаль висеть правление.
О за совещание лететь. Граница военный ленинград июнь тесно деловой сынок.",60,2023-08-29 00:33:38.228485,2024-08-08 00:33:38.228485
b8453874-1f2d-4d49-9a87-5580c9c394fb,1 + 1 = 3,"Точно видимо ленинград выразить неудобно изображать пасть. Ночь войти фонарик встать горький неожиданный. Теория горький тревога правление.
Труп неудобно ход металл куча издали.",,2023-07-03 00:33:38.228485,2024-01-23 00:33:38.228485
