id,title,address,phone_number,fio_representative
c5ad020e-7a29-4606-8c2b-3e7d84bc286b,"ООО «Горбунов, Рябова и Соловьева»","п. Норильск, бул. Фадеева, д. 1 к. 8/2, 844155",8 (330) 242-05-90,Мамонтов Назар Денисович
f302b147-8b11-4d94-b1c4-edf6a08ac148,Пестов Лимитед,"к. Геленджик, ул. Революционная, д. 68 к. 9, 653471",+73134282925,Богдан Марсович Галкин
8e9bc191-e6fa-4a5c-9b37-072b87e88b50,ООО «Нестеров Савельев»,"д. Каневская, пер. Николаева, д. 122 к. 1/4, 394148",+7 (466) 758-58-03,Нонна Оскаровна Гуляева
ba5217c8-dee3-450d-833f-2e39dae1cbb2,ЗАО «Макаров-Дорофеева»,"клх Чусовой, бул. Краснознаменный, д. 47 стр. 381, 395579",83572043630,Феликс Борисович Муравьев
5f25b949-9664-439c-9553-af5c1fbfade1,"НПО «Комаров, Субботин и Абрамова»","п. Абакан, бул. Гончарова, д. 1/6 к. 68, 114060",+7 (709) 262-8789,Лыткина Любовь Владимировна
2cf7cba2-c0f6-44db-98b5-39a7a84f763d,Абрамова Лимитед,"ст. Мостовской, ул. Станиславского, д. 941 к. 689, 078448",+7 030 787 8454,Владимирова Ксения Рубеновна
4deff232-f227-4684-8044-b0e5ef66d7b7,Уральские локомотивы,"д. Курганинск, ул. Водников, д. 969, 384758",+79678073588,Селиван Венедиктович Суханов
15f6ab98-94cb-4060-957a-85bf1d39f258,ЗАО «Кондратьева-Павлова»,"клх Брянск, бул. Гвардейский, д. 71 стр. 92, 484792",+72189477526,Чеслав Давыдович Быков
379bed1a-82ea-43ac-9bc7-2317513fa1c7,ОАО «Исаева Панова»,"п. Енисейск, ш. Угольное, д. 80 стр. 6, 368679",+7 852 570 04 75,Филиппов Аристарх Гордеевич
d328668a-4307-4a05-9a4e-232f4a72c05f,НПО «Носов»,"ст. Усть-Ордынский, пр. Производственный, д. 6, 138013",8 191 139 25 12,Василий Тарасович Беляков
23ba49f3-e5e0-433d-aee4-d7c88ff07392,"ООО «Кириллов, Панов и Богданов»","г. Кондопога, пер. Инженерный, д. 7/3 к. 803, 461670",8 827 432 6427,Алевтина Матвеевна Коновалова
891f3966-02b6-49cf-ac6b-bf3d291e8711,ИП «Дементьева-Сергеев»,"ст. Гаврилов-Ям, пер. Заводской, д. 9 к. 9, 958772",81129844064,Хохлова Лукия Архиповна
a86c08db-53a3-4665-bc57-c6d755ef4c62,ЗАО «Федоров Терентьев»,"п. Магадан, пер. Путейский, д. 39, 180949",88851746313,Милован Ерофеевич Новиков
8bd654d5-0759-40d8-8649-82648316a253,ИП «Зыков Максимова»,"д. Минеральные Воды, наб. Чапаева, д. 3 к. 21, 570530",+71755869152,Семен Харитонович Гуляев
8ee6d688-d63b-4e4f-a199-45b45f5efb93,АО «Беляев Савин»,"ст. Орел, алл. Пригородная, д. 2/5 стр. 714, 946106",8 (332) 103-6355,Авдеев Болеслав Гурьевич
332df0ca-6cc0-4fed-86fb-63b3ab0efe04,Васильев Групп,"п. Усть-Баргузин, пр. Строителей, д. 2/2 к. 8, 038247",+7 (777) 689-82-14,Пахомов Вацлав Ефимьевич
76a9ad88-98de-4429-9772-5baa846cfe37,ИП «Соловьева-Пестов»,"клх Аршан (Бурят.), наб. Грибоедова, д. 4/8 к. 4/5, 127741",+7 (743) 754-27-56,Гордей Елисеевич Ефимов
1eaabdb2-0b2b-432a-8916-03c4a4e93aab,ИП «Рябова Архипов»,"клх Великий Устюг, пер. Угольный, д. 4/3 стр. 980, 575831",+7 987 889 15 20,Зоя Яковлевна Мухина
0a6e2064-b3ab-4320-8b94-dce74141b85d,НПО «Денисов Бирюков»,"к. Азов (Рост.), наб. К.Маркса, д. 1, 950444",8 630 356 18 01,Агата Алексеевна Федорова
00de6041-8a69-46af-9940-de593f8e28e5,"РАО «Павлова, Белов и Шилов»","д. Орел, алл. Родниковая, д. 9/8 стр. 68, 966698",8 599 548 8998,Карпов Леонид Харламович
4aca6e8a-9db9-4fb1-b469-8e1f2c81c718,Силовые машины,"д. Яхрома, пр. Болотный, д. 8 к. 6/1, 069238",+7 (135) 866-3907,тов. Лихачев Рюрик Брониславович
5166ccda-2807-4aa1-861d-0083e4286f26,"АО «Потапова, Гуляева и Филатова»","п. Калевала, пер. Машиностроителей, д. 85, 700846",+7 122 368 2147,Нифонт Аверьянович Копылов
e7b335df-ea1d-48cc-8948-0be31c3f572c,Васильев и партнеры,"к. Смоленск, пр. Спартака, д. 53 к. 9/4, 430160",+7 643 371 57 98,Муравьев Харитон Измаилович
a9cc585c-9e6f-4b70-8849-8800ba6b3630,НПО «Шестаков»,"г. Амурск, ул. Кутузова, д. 9 стр. 6/1, 720792",8 234 437 5757,Изяслав Абрамович Рогов
0f86518f-9505-4a25-8ab2-4560cf56c8a8,ОАО «Романов Кулакова»,"с. Ачхой Мартан, бул. Красных Партизан, д. 975 стр. 6, 453555",+74268750565,Фока Фокич Дементьев
d0dc8e57-5b5c-448b-aa78-7c8a0304e169,"ИП «Григорьева, Пахомов и Кириллова»","с. Бомнак, пер. Горный, д. 38, 853136",+7 567 727 6780,Захар Харлампович Никифоров
06f83d67-fc8c-4f2f-bad6-260f3e493c03,НПО «Анисимов-Рябов»,"клх Шамары, алл. Островского, д. 5/2 к. 1/4, 847860",8 (481) 634-0014,Фома Ерофеевич Дмитриев
