User Count,Total Request Count,Total Average Response Time,Requests/s
50,1171,28.747,0
200,3694,58.885,108
300,6163,93.528,947
400,8630,130.303,1007
500,10992,166.3,1035
500,13259,200.663,1057
500,15786,235.7,1141
500,18191,260.495,1127
500,20623,275.387,1138
500,23055,286.911,1145
500,25487,296.106,1146
500,28047,304.076,1154
500,30479,311.796,1164
500,33039,317.92,1165
500,35471,322.696,1165
500,38032,327.387,1161
500,40592,330.579,1149
500,43024,334.151,1152
500,45328,337.071,1158
500,47760,340.013,1152
500,50192,342.504,1164
500,52753,344.504,1163
500,55185,346.23,1153
500,57745,347.954,1158
500,60050,349.993,1165
500,62482,351.469,1153
500,64914,352.436,1153
500,67346,354.096,1165
