User Count,Total Request Count,Total Average Response Time,Requests/s
10,372,25.846,0
40,1156,50.045,78
60,1977,73.115,275
80,2759,97.479,327
100,3617,121.171,347
120,4435,144.35,362
140,5296,167.822,399
160,6222,187.674,406
180,7159,209.065,420
200,8104,228.758,425
220,9035,250.598,443
240,10045,269.343,450
260,11009,289.805,469
280,11948,309.27,473
300,12724,334.602,470
320,13686,355.607,453
340,14537,377.23,455
360,15571,398.857,442
380,16522,417.814,448
400,17291,436.418,452
420,18084,461.885,453
440,18990,477.444,437
460,19912,501.625,442
480,20771,517.916,431
500,21677,534.373,422
500,22542,558.219,435
500,23487,584.407,439
500,24569,607.249,442
